"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2016-04-08","114.25","114.33","109.9","110.63","48497808.0","60.93639","61.72788","60.09006","60.91933","109.1144","99.99352","113.3405","110.49601"
"FB","2016-04-07","113.79","114.89","113.0663","113.64","20714537.0","60.88182","61.67404","60.03908","60.86845","108.7908","99.87977","113.66983","110.42388"
"FB","2016-04-06","112.47","113.81","112.42","113.71","20814640.0","60.82761","61.61952","59.98475","60.81438","108.4648","99.73527","113.61075","110.22093"
"FB","2016-04-05","112.11","113.32","111.9","112.22","22962365.0","60.77464","61.56599","59.93097","60.76013","108.1308","99.57927","113.51758","110.00214"
"FB","2016-04-04","114.07","114.55","111.61","112.55","48487913.0","60.72194","61.51285","59.87761","60.70729","107.8452","99.4327","113.59125","109.83058"
"FB","2016-04-01","113.75","116.17","113.35","116.06","24760504.0","60.66711","61.45834","59.82444","60.65401","107.4774","99.2789","113.5975","109.63165"
"FB","2016-03-31","114.7","115.01","113.7682","114.1","21207526.0","60.6125","61.40206","59.76938","60.59701","107.0432","99.1039","113.09217","109.27805"
"FB","2016-03-30","116.73","116.99","114.355","114.7","33235184.0","60.5568","61.34685","59.71377","60.54191","106.6664","98.93695","112.77692","108.98654"
"FB","2016-03-29","113.83","116.32","113.64","116.14","29825340.0","60.49889","61.28948","59.65743","60.48608","106.2718","98.7711","112.31358","108.65602"
"FB","2016-03-28","113.32","114.5889","112.95","113.69","21351751.0","60.44385","61.23269","59.60172","60.42864","105.9164","98.59955","111.5835","108.2551"
"FB","2016-03-24","112.13","113.09","111.68","113.05","17839119.0","60.38922","61.17757","59.54661","60.37362","105.5514","98.4419","111.1155","107.93594"
"FB","2016-03-23","112.01","113.19","112.0","112.54","18561974.0","60.33572","61.12389","59.4927","60.31914","105.2778","98.28","110.69858","107.63115"
"FB","2016-03-22","111.36","112.88","111.17","112.25","19001076.0","60.28222","61.06999","59.43834","60.26509","104.9772","98.12065","110.32383","107.33456"
"FB","2016-03-21","111.66","112.37","111.03","111.85","18447974.0","60.22929","61.0163","59.38474","60.21122","104.6788","97.9701","109.96508","107.03765"
"FB","2016-03-18","111.56","112.42","110.27","111.45","36256877.0","60.17594","60.96303","59.33116","60.15765","104.4002","97.8211","109.61525","106.74551"
"FB","2016-03-17","112.15","112.69","110.73","111.02","24241247.0","60.12258","60.90959","59.27827","60.10439","104.2306","97.67605","109.286","106.46239"
"FB","2016-03-16","110.49","112.5","110.1","112.18","24744778.0","60.0685","60.85577","59.22478","60.05146","104.0648","97.52317","108.98592","106.18964"
"FB","2016-03-15","109.11","110.83","108.84","110.67","17618460.0","60.01603","60.80203","59.17184","59.99721","103.8656","97.36372","108.49667","105.86358"
"FB","2016-03-14","109.28","110.33","108.77","109.89","17249365.0","59.96489","60.74992","59.12011","59.94443","103.7454","97.20632","108.15275","105.59203"
"FB","2016-03-11","108.48","109.42","107.92","109.41","20697553.0","59.91347","60.69822","59.06833","59.89235","103.672","97.0576","107.88358","105.34819"
"FB","2016-03-10","107.91","108.66","105.7699","107.32","24854284.0","59.86278","60.64736","59.01734","59.84066","103.629","96.9133","107.63408","105.12148"
"FB","2016-03-09","106.7","107.51","105.49","107.51","20493305.0","59.81257","60.59719","58.96849","59.79105","103.6012","96.77337","107.61375","104.97565"
"FB","2016-03-08","104.78","107.37","104.4","105.93","25204666.0","59.76352","60.54812","58.91982","59.74113","103.5514","96.63852","107.55042","104.82041"
"FB","2016-03-07","108.07","108.07","104.72","105.73","31534055.0","59.71639","60.49909","58.8722","59.69277","103.5254","96.51127","107.64858","104.72611"
"FB","2016-03-04","110.05","110.05","107.93","108.39","24938858.0","59.6657","60.44922","58.82414","59.64451","103.521","96.38537","107.74075","104.63948"
"FB","2016-03-03","110.25","110.3","108.54","109.58","21353092.0","59.61283","60.39718","58.77261","59.59336","103.4486","96.24657","107.44642","104.4457"
"FB","2016-03-02","109.68","110.55","108.77","109.95","25670170.0","59.55964","60.34476","58.72034","59.54085","103.3378","96.10307","106.93183","104.20091"
"FB","2016-03-01","107.83","109.82","107.6","109.82","26817309.0","59.50694","60.29197","58.66771","59.48785","103.2632","95.95542","106.28425","103.93868"
"FB","2016-02-29","107.6","108.9101","106.75","106.92","32778992.0","59.45607","60.23983","58.6162","59.43487","103.2026","95.81317","105.569","103.67918"
"FB","2016-02-26","108.7","109.45","107.16","107.92","26686193.0","59.40534","60.18854","58.56548","59.38483","103.1552","95.67077","105.1925","103.53154"
"FB","2016-02-25","107.11","108.07","105.61","108.07","29906278.0","59.35334","60.13658","58.51422","59.33363","103.09","95.51847","104.71242","103.34213"
"FB","2016-02-24","104.21","106.95","102.74","106.88","34412437.0","59.30291","60.08597","58.46449","59.28217","102.971","95.36817","104.25208","103.14216"
"FB","2016-02-23","106.85","107.47","105.12","105.46","25319315.0","59.25544","60.03643","58.41769","59.23185","102.9418","95.22632","104.00492","102.98773"
"FB","2016-02-22","105.49","108.25","105.34","107.16","35709714.0","59.20508","59.98623","58.36827","59.18293","102.9246","95.09115","104.0155","102.8883"
"FB","2016-02-19","102.55","105.02","102.06","104.57","32404516.0","59.15605","59.9351","58.31851","59.13211","102.9112","94.94585","103.85567","102.72168"
"FB","2016-02-18","105.8","106.0","103.03","103.47","29593508.0","59.11003","59.88729","58.27212","59.08393","102.932","94.8108","104.05742","102.65744"
"FB","2016-02-17","101.94","105.72","100.4","105.2","44073369.0","59.06047","59.83834","58.22461","59.03681","102.9862","94.6875","104.3215","102.63847"
"FB","2016-02-16","103.8","103.93","100.24","101.61","45687224.0","59.0149","59.78958","58.17979","58.98775","102.9698","94.55645","104.30383","102.55101"
"FB","2016-02-12","103.74","104.24","101.09","102.01","36176760.0","58.96725","59.74263","58.13504","58.94241","103.059","94.44225","104.69658","102.60784"
"FB","2016-02-11","99.6","105.11","98.88","101.91","43670634.0","58.91957","59.69524","58.0893","58.89654","103.1612","94.33452","105.00542","102.65298"
