Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TWAP-Open,TWAP-High,TWAP-Low,TWAP-Close,SMA-50,SMA-200,LWMA-15,LWMA-50
2015-08-26,85.95,87.46,83.26,87.19,45124302,0,1,85.95,87.46,83.26,87.19,45124302,53.12260,53.83822,52.37425,53.09745,90.77250,81.81210,89.66742,91.98300
2015-08-25,86.95,87.67,83,83,52021230,0,1,86.95,87.67,83,83,52021230,53.08267,53.79732,52.33667,53.05597,90.64990,81.75415,90.28358,92.11868
2015-08-24,77.03,87.14,72,82.09,83710727,0,1,77.03,87.14,72,82.09,83710727,53.04142,53.75606,52.29932,53.01950,90.60410,81.71545,91.51567,92.41688
2015-08-21,87.52,89.18,85.61,86.06,62778680,0,1,87.52,89.18,85.61,86.06,62778680,53.01216,53.71535,52.27530,52.98405,90.59290,81.67915,92.96192,92.75033
2015-08-20,93.54,94.77,90.46,90.56,44598224,0,1,93.54,94.77,90.46,90.56,44598224,52.97003,53.67205,52.23460,52.94366,90.50830,81.62765,93.97817,92.92477
2015-08-19,94.63,96.1,94.161,95.31,23251271,0,1,94.63,96.1,94.161,95.31,23251271,52.92043,53.62180,52.18787,52.89767,90.34030,81.54425,94.47067,92.91615
2015-08-18,94.08,95.85,94.04,95.17,22278848,0,1,94.08,95.85,94.04,95.17,22278848,52.86938,53.56981,52.13649,52.84576,90.04750,81.44265,94.38342,92.70978
2015-08-17,94.42,94.46,93.39,93.93,18313531,0,1,94.42,94.46,93.39,93.93,18313531,52.81888,53.51800,52.08514,52.79389,89.75750,81.33735,94.31467,92.49753
2015-08-14,93.54,94.72,93.21,94.42,15929656,0,1,93.54,94.72,93.21,94.42,15929656,52.76783,53.46776,52.03446,52.74342,89.52170,81.24700,94.40292,92.32465
2015-08-13,94.05,94.73,93.35,93.43,17451768,0,1,94.05,94.73,93.35,93.43,17451768,52.71774,53.41708,51.98387,52.69222,89.27430,81.17875,94.45100,92.12286
2015-08-12,92.7,94.44,91.19,94.19,27120375,0,1,92.7,94.44,91.19,94.19,27120375,52.66690,53.36627,51.93299,52.64211,89.05450,81.11300,94.63958,91.95127
2015-08-11,93.73,94.76,92.9006,93.62,22491031,0,1,93.73,94.76,92.9006,93.62,22491031,52.61760,53.31568,51.88465,52.59095,88.77960,81.04540,94.75692,91.73910
2015-08-10,95.68,95.9,93.63,94.15,21624153,0,1,95.68,95.9,93.63,94.15,21624153,52.56691,53.26458,51.83407,52.54036,88.51300,80.97750,94.98525,91.53882
2015-08-07,95.38,95.4,93.61,94.3,23199145,0,1,95.38,95.4,93.61,94.3,23199145,52.51368,53.21194,51.78247,52.48899,88.21380,80.89860,95.17867,91.30603
2015-08-06,97.18,98.74,94.42,95.12,42271318,0,1,97.18,98.74,94.42,95.12,42271318,52.46070,53.15980,51.73077,52.43730,87.93070,80.82055,95.35892,91.05625
